,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,s2_id,gs_id,title,year,citation,citation_influential,authors,venue,abstract,gs_citation,yearly_citation,yearly_citation_greater_than_median_9,genders,organizations,prev_citations,prev_num_papers,title_length,number_in_title,humor_probability,question_in_abstract,number_in_abstract,outlier_score,Task Proposal,SOTA Results,"Github, publicly available",New Resource (dataset),Data Efficiency Less Computational Resources,abstract_ratio_passive,abstract_comma_count,abstract_num_sent,abstract_num_word,abstract_num_types,abstract_MATTR_density,abstract_ttr,abstract_difficult_word_ratio,abstract_avg_num_syllable,abstract_flesch_readability
9452,9452,9452,9452,9452,9452,9452,109206660,11790729695568586817,Removal of adherent noise in images by using multiple cameras,2008.0,1,0,"[{'authorId': '1748130', 'name': 'A. Yamashita'}, {'authorId': '2073328839', 'name': 'Masayuki Kuramoto'}, {'authorId': '1850085', 'name': 'T. Kaneko'}]",,"In this paper, we propose a new method for removing view-disturbing noise from images taken with multiple cameras. In outdoor environments, scenes taken by cameras are often hard to see because of adherent noise on the surface of the lens-protecting glass. The proposed method analyzes multiple camera images describing the same scene, and synthesizes an image in which adherent noise is eliminated. We show the effectiveness of the proposed method through experimental results. © 2008 Wiley Periodicals, Inc. Electr Eng Jpn, 164(3): 50–59, 2008; Published online in Wiley InterScience (www.interscience.wiley.com). DOI 10.1002/eej.20697",2.0,0.1333333333333333,False,"['M', 'M', 'M']","[None, None, None]","[None, None, None]","[None, None, None]",10,-1,5.044728145445793e-05,-1,1,0.061955776,0.7854832410812378,0.6434681415557861,0.4598262906074524,0.4217710494995117,0.3390952050685882,1.0,17.0,6.0,92.0,76,91.66666666666669,0.693069306930693,0.3366336633663366,2.00990099009901,18.121376237623792
51233,51233,51233,51233,51233,51242,51242,2793335,7184441691658957651,"Plan, Attend, Generate: Character-Level Neural Machine Translation with Planning",2017.0,6,1,"[{'authorId': '1854385', 'name': 'Çaglar Gülçehre'}, {'authorId': '3372012', 'name': 'Francis Dutil'}, {'authorId': '3382568', 'name': 'Adam Trischler'}, {'authorId': '1751762', 'name': 'Yoshua Bengio'}]",Rep4NLP@ACL,"We investigate the integration of a planning mechanism into an encoder-decoder architecture with attention. We develop a model that can plan ahead when it computes alignments between the source and target sequences not only for a single time-step but for the next k time-steps as well by constructing a matrix of proposed future alignments and a commitment vector that governs whether to follow or recompute the plan. This mechanism is inspired by strategic attentive reader and writer (STRAW) model, a recent neural architecture for planning with hierarchical reinforcement learning that can also learn higher level temporal abstractions. Our proposed model is end-to-end trainable with differentiable operations. We show that our model outperforms strong baselines on character-level translation task from WMT’15 with fewer parameters and computes alignments that are qualitatively intuitive.",8.0,1.3333333333333333,False,"['-', 'M', 'M', 'M']","['Research Scientist at Deepmind and PhD from MILA', 'Imagia', 'Microsoft Research, McGill University', 'Senior Staff Research Scientist']","[None, 68, 183, 885]","[35, 2, 8, 46]",12,-1,6.0613184956080654e-05,-1,1,0.046682034,0.6892027854919434,0.5925320982933044,0.6506704688072205,0.4129061698913574,0.447332888841629,1.0,14.0,5.0,130.0,95,96.11111111111111,0.5985401459854015,0.2846715328467153,1.9416058394160585,16.185145985401476
10489,10489,10489,10489,10489,10489,10489,216642009,4825097239728124845,Privacy-Preserving Recommender Systems Challenge on Twitter's Home Timeline,2020.0,14,3,"[{'authorId': '1564617568', 'name': 'Luca Belli'}, {'authorId': '8297290', 'name': 'S. Ktena'}, {'authorId': '41203992', 'name': 'Alykhan Tejani'}, {'authorId': '1405379442', 'name': 'A. Lung-Yut-Fong'}, {'authorId': '1661216672', 'name': 'Frank Portman'}, {'authorId': '121330627', 'name': 'Xiao Zhu'}, {'authorId': '1877955', 'name': 'Yuanpu Xie'}, {'authorId': '2109982714', 'name': 'Akshay Gupta'}, {'authorId': '1732570', 'name': 'M. Bronstein'}, {'authorId': '1950057494', 'name': 'Amra Delic'}, {'authorId': '22730992', 'name': 'Gabriele Sottocornola'}, {'authorId': '2431124', 'name': 'Vito Walter Anelli'}, {'authorId': '144694605', 'name': 'N. Andrade'}, {'authorId': '2109847276', 'name': 'Jessie Smith'}, {'authorId': '46810836', 'name': 'Wenzhe Shi'}]",ArXiv,"Recommender systems constitute the core engine of most social network platforms nowadays, aiming to maximize user satisfaction along with other key business objectives. Twitter is no exception. Despite the fact that Twitter data has been extensively used to understand socioeconomic and political phenomena and user behaviour, the implicit feedback provided by users on Tweets through their engagements on the Home Timeline has only been explored to a limited extent. At the same time, there is a lack of large-scale public social network datasets that would enable the scientific community to both benchmark and build more powerful and comprehensive models that tailor content to user interests. By releasing an original dataset of 160 million Tweets along with engagement information, Twitter aims to address exactly that. During this release, special attention is drawn on maintaining compliance with existing privacy laws. Apart from user privacy, this paper touches on the key challenges faced by researchers and professionals striving to predict user engagements. It further describes the key aspects of the RecSys 2020 Challenge that was organized by ACM RecSys in partnership with Twitter using this dataset.",6.0,2.0,False,"['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","[None, 'DeepMind', 'Twitter', None, None, None, 'Twitter Inc', None, None, None, None, 'Polytechnic University of Bari', None, None, None]","[None, 645, 9462, None, None, None, 1340, None, None, None, None, 160, None, None, None]","[None, 18, 17, None, None, None, 27, None, None, None, None, 25, None, None, None]",9,-1,5.286816904581116e-05,-1,1,0.04424284,0.5506777763366699,0.5350552201271057,0.6605796217918396,0.8739029765129089,0.531568706035614,1.0,15.0,8.0,183.0,126,95.0,0.6086956521739131,0.2826086956521739,1.9891304347826089,15.311065217391302
81755,81755,81755,81755,81755,81766,81766,53341588,12521587603680333564,Identification of Citrus Greening (HLB) Using a VIS-NIR Spectroscopy Technique,2012.0,29,0,"[{'authorId': '2112891142', 'name': 'A. Mishra'}, {'authorId': '2130813', 'name': 'D. Karimi'}, {'authorId': '1972113', 'name': 'R. Ehsani'}, {'authorId': '30591829', 'name': 'W. S. Lee'}]",,"Citrus greening, also known as Huanglongbing or HLB, is a major threat to the U.S. citrus industry. Currently, scouting and visual inspection are used for screening infected trees. However, this is a time-consuming and expensive method for HLB disease detection. Moreover, as it is subjective, the current method exhibits high detection error rates. The objective of this study was to investigate the potential of visible and near-infrared (VIS-NIR) spectroscopy for identifying HLB-infected citrus trees. The spectral data from infected and healthy orange trees of the Valencia variety were collected from four different orchards in Florida. Two different spectroradiometers with a spectral range of 350 to 2500 nm were used to collect the canopy reflectance spectral data. Three classification techniques were used to classify the data: k-nearest neighbors (KNN), logistic regression (LR), and support vector machines (SVM). Analysis showed that using only one canopy reflectance observation per tree was inadequate. None of the classification methods was successful in discriminating healthy trees from HLB-infected trees because of the large variability in the canopy reflectance spectral data. When five spectra from the same tree were used for classification, the SVM and weighted KNN methods classified spectra with 3.0% and 6.5% error rates, respectively. The results from this study indicate that canopy VIS-NIR spectral reflectance data can be used to detect HLB-infected citrus trees; however, high classification accuracy (>90%) requires multiple measurements from a single tree.",32.0,2.909090909090909,False,"['M', '-', '-', '-']","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]",12,-1,8.682210299865953e-05,-1,1,0.10488981,0.4519480764865875,0.5259488224983215,0.620890200138092,0.3866179585456848,0.2694115042686462,1.0,47.0,12.0,232.0,135,93.11659192825113,0.6748971193415638,0.2716049382716049,1.9588477366255144,21.526981481481528
24787,24787,24787,24787,24787,24790,24790,1670258,"10004389258133783960,11848147232179297414",Noise-Tolerant Life-Long Matrix Completion via Adaptive Sampling,2016.0,22,2,"[{'authorId': '1745410', 'name': 'Maria-Florina Balcan'}, {'authorId': '40975176', 'name': 'Hongyang R. Zhang'}]",NIPS,"We study the problem of recovering an incomplete $m\times n$ matrix of rank $r$ with columns arriving online over time. This is known as the problem of life-long matrix completion, and is widely applied to recommendation system, computer vision, system identification, etc. The challenge is to design provable algorithms tolerant to a large amount of noises, with small sample complexity. In this work, we give algorithms achieving strong guarantee under two realistic noise models. In bounded deterministic noise, an adversary can add any bounded yet unstructured noise to each column. For this problem, we present an algorithm that returns a matrix of a small error, with sample complexity almost as small as the best prior results in the noiseless case. For sparse random noise, where the corrupted columns are sparse and drawn randomly, we give an algorithm that exactly recovers an $\mu_0$-incoherent matrix by probability at least $1-\delta$ with sample complexity as small as $O(\mu_0rn\log(r/\delta))$. This result advances the state-of-the-art work and matches the lower bound in a worst case. We also study the scenario where the hidden matrix lies on a mixture of subspaces and show that the sample complexity can be even smaller. Our proposed algorithms perform well experimentally in both synthetic and real-world datasets.",31.0,4.428571428571429,False,"['-', '-']","['Professor, School of Computer Science, Carnegie Mellon University', 'Assistant Professor of Computer Science, University of Waterloo, Vector Institute']","[3278, None]","[108, 5]",7,-1,9.170196905195048e-05,-1,1,0.050593268,0.4254288971424103,0.5081425905227661,0.4300174117088318,0.5675694346427917,0.3192630708217621,1.0,30.0,10.0,207.0,131,91.90954773869346,0.6073059360730594,0.2009132420091324,1.7899543378995433,34.39436301369864
36711,36711,36711,36711,36711,36716,36716,130001160,8655965061439621112,Biodiversity and soil quality in agroecosystems: the use of a qualitative multi-attribute model.,2009.0,0,0,"[{'authorId': '46818287', 'name': 'J. Cortet'}, {'authorId': '1697708', 'name': 'M. Bohanec'}, {'authorId': '36940306', 'name': 'B. Griffiths'}, {'authorId': '3251333', 'name': 'M. Znidarsic'}, {'authorId': '2512356', 'name': 'M. Debeljak'}, {'authorId': '6707433', 'name': 'S. Caul'}, {'authorId': '152543643', 'name': 'Jacqueline A. Thompson'}, {'authorId': '1722995', 'name': 'P. Krogh'}, {'authorId': '12576024', 'name': 'C. Steinberg'}, {'authorId': '1401286249', 'name': 'V. Edel-Hermann'}, {'authorId': '4217573', 'name': 'H. Friberg'}, {'authorId': '88077969', 'name': 'C. Alabouvette'}, {'authorId': '34721629', 'name': 'A. Tronsmo'}]",,"In ecological impact assessment, special emphasis is put on soil biology and estimating soil quality from the observed biological parameters. The aim of this study is to propose a tool easy to use for scientists and decision makers for agroecosystems soil quality assessment using these biological parameters. This tool was developed as a collaboration between ECOGEN (www.ecogen.dk) soil experts and decision analysts. Methodologically, we have addressed this goal using model-based Decision Support Systems (DSS), taking the approach of qualitative multi-attribute modelling. The approach is based on developing various hierarchical multi-attribute models that consist of qualitative attributes and utility (aggregation) functions, represented by decision rules. The assessment of soil quality is based on two main indicators: (1) soil diversity (assessed through microfauna, mesofauna and macrofauna richness) and (2) soil functioning (in terms of leaching, comminution, mineralisation and plant growth). Here we address the methodological aspects of the model and its development, and describe the components of the model (attributes, value scales, decision rules and weights). We present initial results of its application to the assessment of crop management on soil quality in the case of using conventional and Bt-maize at three field sites in France and Denmark. Our finding was that soil quality was unaffected even though several input attributes were changed. We also analyse the sensitivity of the model and discuss its current and potential contribution to soil quality management.",1.0,0.0714285714285714,False,"['-', 'M', 'M', 'M', 'M', 'F', 'F', '-']","[None, 'Chief researcher, founder at Salvirt ltd.', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, 0, None, None, None, None, None, None, None, None, None, None, None]",15,-1,0.0005582002822974,-1,1,0.04774397,0.777154266834259,0.6958723068237305,0.54474276304245,0.6443336606025696,0.5682122707366943,1.0,41.0,10.0,230.0,137,90.85648148148148,0.6440677966101694,0.3008474576271186,2.055084745762712,9.629830508474583
41455,41455,41455,41455,41455,41462,41462,7977629,15796249916528698685,Decreased Left Posterior Insular Activity during Auditory Language in Autism,2010.0,68,4,"[{'authorId': '33502772', 'name': 'J. Anderson'}, {'authorId': '144724379', 'name': 'N. Lange'}, {'authorId': '32800447', 'name': 'A. Froehlich'}, {'authorId': '2191746', 'name': 'M. DuBray'}, {'authorId': '5625983', 'name': 'T. Druzgal'}, {'authorId': '31807723', 'name': 'M. P. Froimowitz'}, {'authorId': '118754924', 'name': 'A. Alexander'}, {'authorId': '1938903', 'name': 'E. Bigler'}, {'authorId': '3208830', 'name': 'J. Lainhart'}]",American Journal of Neuroradiology,"BACKGROUND AND PURPOSE: Individuals with autism spectrum disorders often exhibit atypical language patterns, including delay of speech onset, literal speech interpretation, and poor recognition of social and emotional cues in speech. We acquired functional MR images during an auditory language task to evaluate systematic differences in language-network activation between control and high-functioning autistic populations. MATERIALS AND METHODS: Forty-one right-handed male subjects (26 high-functioning autistic subjects, 15 controls) were studied by using an auditory phrase-recognition task, and areas of differential activation between groups were identified. Hand preference, verbal intelligence quotient (IQ), age, and language-function testing were included as covariables in the analysis. RESULTS: Control and autistic subjects showed similar language-activation networks, with 2 notable differences. Control subjects showed significantly increased activation in the left posterior insula compared with autistic subjects (P < .05, false discovery rate), and autistic subjects showed increased bilaterality of receptive language compared with control subjects. Higher receptive-language scores on standardized testing were associated with greater activation of the posterior aspect of the left Wernicke area. A higher verbal IQ was associated with greater activation of the bilateral Broca area and involvement of the prefrontal cortex and lateral premotor cortex. CONCLUSIONS: Control subjects showed greater activation of the posterior insula during receptive language, which may correlate with impaired emotive processing of language in autism. Subjects with autism showed greater bilateral activation of receptive-language areas, which was out of proportion to the differences in hand preference in autism and control populations.",70.0,5.384615384615385,False,"['-', 'M', 'F', '-', '-', '-', '-', '-', '-']","[None, None, None, None, 'Associate Professor of Radiology and Medical Imaging, University of Virginia', None, None, None, None]","[None, None, None, None, 440, None, None, None, None]","[None, None, None, None, 7, None, None, None, None]",10,-1,0.0001387341225792,-1,1,0.055672783,0.6105045676231384,0.64312344789505,0.5240731239318848,0.7988272309303284,0.4825724959373474,1.0,44.0,10.0,241.0,127,89.97835497835497,0.7250996015936255,0.3625498007968127,2.223107569721116,-5.701400398406349
65391,65391,65391,65391,65391,65402,65402,44233495,"443661416345864479,14769085154458651133",Unitary Dynamics of Strongly Interacting Bose Gases with the Time-Dependent Variational Monte Carlo Method in Continuous Space,2016.0,10,0,"[{'authorId': '50666189', 'name': 'G. Carleo'}, {'authorId': '102349273', 'name': 'L. Cevolani'}, {'authorId': '31034496', 'name': 'L. Sanchez-Palencia'}, {'authorId': '33253686', 'name': 'M. Holzmann'}]",,"We introduce the time-dependent variational Monte Carlo method for continuous-space Bose gases. Our 
approach is based on the systematic expansion of the many-body wave function in terms of multibody 
correlations and is essentially exact up to adaptive truncation. The method is benchmarked by comparison 
to an exact Bethe ansatz or existing numerical results for the integrable Lieb-Liniger model. We first show 
that the many-body wave function achieves high precision for ground-state properties, including energy 
and first-order as well as second-order correlation functions. Then, we study the out-of-equilibrium, unitary 
dynamics induced by a quantum quench in the interaction strength. Our time-dependent variational 
Monte Carlo results are benchmarked by comparison to exact Bethe ansatz results available for a small 
number of particles, and are also compared to quench action results available for noninteracting initial 
states. Moreover, our approach allows us to study large particle numbers and general quench protocols, 
previously inaccessible beyond the mean-field level. Our results suggest that it is possible to find correlated 
initial states for which the long-term dynamics of local density fluctuations is close to the predictions of a 
simple Boltzmann ensemble.",18.0,2.571428571428572,False,"['-', '-', '-', '-']","['Assistant Professor of Computational Quantum Science - EPFL, Lausanne, Switzerland', None, None, None]","[253, None, None, None]","[12, None, None, None]",17,-1,9.535461188204108e-05,-1,-1,0.0451618,0.6312707662582397,0.7242158055305481,0.5656028389930725,0.5370246767997742,0.5968559980392456,0.2307692307692307,2.076923076923077,1.5384615384615383,14.153846153846152,121,94.80225988700565,0.6548223350253807,0.2639593908629442,1.9593908629441623,17.725532994923867
2639,2639,2639,2639,2639,2639,2639,161266808,10216901148997045161,"Problemática asociada al uso del mercurio para la recuperación de oro en la minería artesanal de Cháparra, sur de Perú",2013.0,0,0,"[{'authorId': '104058619', 'name': 'Yáñez González'}, {'authorId': '144320743', 'name': 'J. Alberto'}]",,"Chaparra es un pueblo del sur de Peru cuya actividad principal es la mineria artesanal del oro. El yacimiento que se explota en este lugar es un deposito de oxidos de hierro, cobre y oro de tipo IOCG (Iron-Oxide Copper Gold deposit). La mena de oro es procesada mediante el uso de mercurio, el cual se anade durante la trituracion y molienda de la roca en molinos artesanales, obteniendo una amalgama de oro (mercurio + oro) por un lado y colas residuales por el otro. Esta amalgama es concentrada, eliminando el exceso de mercurio, y quemada al aire libre o en espacios preparados para ello (retortas). Al quemar esta mezcla, el mercurio se evapora y se obtiene el oro que finalmente es vendido. Parte del mercurio es condensado y recuperado, por lo que es aprovechado de nuevo, pero otra parte va directamente a la atmosfera. 
Ademas, la manipulacion del mercurio produce efectos adversos sobre la salud de las personas. Las vias por las que entran en contacto con el mercurio son: (1) la inhalacion de los vapores durante la quema de la amalgama o durante el funcionamiento de los molinos sin proteccion; (2) el contacto dermico por su manipulacion sin proteccion de guantes; y (3) su ingesta, a traves del consumo de pescado y/o por beber agua contaminados por mercurio.",1.0,0.1,False,"['-', '-']","[None, None]","[None, None]","[None, None]",21,-1,0.000226933857496,-1,1,0.1413268,0.2863693833351135,0.3524873554706573,0.2869597971439361,0.3458501994609833,0.2607313394546509,0.0,18.0,4.0,109.5,122,87.46268656716418,0.9411764705882352,0.3167420814479638,1.995475113122172,6.248305429864274
64830,64830,64830,64830,64830,64840,64840,4388498,17496763997099309875,The cancer glycocalyx mechanically primes integrin-mediated growth and survival,2014.0,451,11,"[{'authorId': '47231810', 'name': 'M. Paszek'}, {'authorId': '3841081', 'name': 'Christopher C Dufort'}, {'authorId': '33491928', 'name': 'O. Rossier'}, {'authorId': '5144724', 'name': 'Russell Bainer'}, {'authorId': '5067354', 'name': 'J. K. Mouw'}, {'authorId': '50277002', 'name': 'K. Godula'}, {'authorId': '49656635', 'name': 'J. Hudak'}, {'authorId': '40831798', 'name': 'J. Lakins'}, {'authorId': '40831756', 'name': 'Amanda C. Wijekoon'}, {'authorId': '8388124', 'name': 'L. Cassereau'}, {'authorId': '5812239', 'name': 'Matthew G Rubashkin'}, {'authorId': '2088980488', 'name': 'M. J. Magbanua'}, {'authorId': '2939613', 'name': 'K. Thorn'}, {'authorId': '48949259', 'name': 'M. Davidson'}, {'authorId': '4326032', 'name': 'H. Rugo'}, {'authorId': '1390742919', 'name': 'John W. Park'}, {'authorId': '1824395', 'name': 'D. Hammer'}, {'authorId': '37464473', 'name': 'G. Giannone'}, {'authorId': '4236727', 'name': 'C. Bertozzi'}, {'authorId': '1860493', 'name': 'V. Weaver'}]",Nature,"Malignancy is associated with altered expression of glycans and glycoproteins that contribute to the cellular glycocalyx. We constructed a glycoprotein expression signature, which revealed that metastatic tumours upregulate expression of bulky glycoproteins. A computational model predicted that these glycoproteins would influence transmembrane receptor spatial organization and function. We tested this prediction by investigating whether bulky glycoproteins in the glycocalyx promote a tumour phenotype in human cells by increasing integrin adhesion and signalling. Our data revealed that a bulky glycocalyx facilitates integrin clustering by funnelling active integrins into adhesions and altering integrin state by applying tension to matrix-bound integrins, independent of actomyosin contractility. Expression of large tumour-associated glycoproteins in non-transformed mammary cells promoted focal adhesion assembly and facilitated integrin-dependent growth factor signalling to support cell growth and survival. Clinical studies revealed that large glycoproteins are abundantly expressed on circulating tumour cells from patients with advanced disease. Thus, a bulky glycocalyx is a feature of tumour cells that could foster metastasis by mechanically enhancing cell-surface receptor function.",491.0,54.55555555555556,True,"['-', '-', 'M', 'M', '-', 'M', '-', '-', '-', 'M', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","[None, None, None, None, None, None, None, None, None, None, 'Director of Engineering, Ready Responders', None, 'Senior Director Data Science, Zymergen', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 3366, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 4, None, 39, None, None, None, None, None, None, None]",9,-1,6.085040381870159e-05,-1,-1,0.05675447,0.5771871209144592,0.6785040497779846,0.4290306866168976,0.4197065830230713,0.4767525792121887,1.0,16.0,8.0,165.0,105,94.0,0.7058823529411765,0.4529411764705882,2.335294117647059,-11.639882352941155
